report_date,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,mfd_daily_yield,mfd_7daily_yield,user_id,tBalance,yBalance,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,share_amt,category1,category2,category3,category4
2013-07-15,2356.057199999982,2719.626000000024,2813.1600000000317,3049.1370000000375,3340.44899999999,3012.0089999999705,3048.8514000000287,3141.60000000004,855.7289999999952,3342.9479999999476,10088851,594164538,559143926,48128555,48069686,28401224,19668462,13107943,1521794,11586149,11586149,0,58869,679000.0,222000.0,0.0,620794.0
2013-07-16,2226.6069999999722,2738.734000000001,2956.0,3269.3359999999857,3451.3517000000666,3116.806399999968,3155.529999999988,3251.600000000042,902.614600000008,3424.5260000000094,10509178,632922404,594164538,50622847,50559618,39657799,10901819,11864981,1529687,10335294,10335294,0,63229,744302.0,60000.0,0.0,725385.0
2013-07-17,2270.5200000000086,2750.9400000000023,3053.8800000000338,3465.4500000000517,3566.4299999999475,3225.6990000000433,3266.5499999999874,3366.0000000000446,904.9185000000089,3505.2299999999846,10762685,651026573,632922404,29015682,28946382,25167271,3779111,10911513,2109498,8802015,8802015,0,69300,1348120.0,50000.0,0.0,711378.0
2013-07-18,2314.456000000027,2805.4480000000094,3084.9120000000453,3558.920000000022,3595.821599999969,3255.755599999951,3296.4399999999873,3396.800000000045,918.371200000012,3507.196000000016,10865668,663495722,651026573,24234505,24160561,12633212,11527349,11765356,3195410,8569946,8569946,0,73944,577438.0,2081710.0,0.0,536262.0
2013-07-19,2395.519999999979,2951.059999999945,3196.915999999947,3679.1719999999727,3666.1700000000346,3323.2323999999476,3364.759999999987,3467.2000000000467,948.1216000000106,3560.184000000018,11067225,687931077,663495722,33680124,33603190,25296006,8307184,9244769,1204252,8040517,8040517,0,76934,713031.0,140760.0,0.0,350461.0
2013-07-22,2606.9400000000187,3297.0000000000414,3443.1600000000426,4037.0400000000286,3907.25999999997,3542.531999999937,3586.799999999986,3696.0000000000514,969.9480000000163,3735.480000000019,11829809,743534705,722230076,40448896,40374049,33166661,7207388,19144267,605231,18539036,18539036,0,74847,20220.0,64584.0,0.0,520427.0
2013-07-23,2724.7494999999963,3440.37099999995,3571.590000000025,4336.309999999903,4042.327299999931,3664.833699999931,3710.6299999999856,3823.600000000054,1027.6793999999875,3846.1939999999604,12098083,777266801,743534705,58136147,58056583,48105087,9951496,24404051,2173231,22230820,22230820,0,79564,483047.0,2000.0,0.0,1688184.0
2013-07-24,2858.5500000000143,3549.734999999977,3655.934999999961,4684.304999999989,4124.985000000032,3733.7264999999543,3778.9499999999853,3894.0000000000555,1044.7425000000196,3915.2399999999825,12388726,789430727,777266801,48422518,48337561,38512434,9825127,36258592,712047,35546545,35546545,0,84957,320000.0,12669.0,0.0,379378.0
2013-07-25,3034.6469999999576,3743.5920000000347,3857.7479999999323,4954.00799999993,4222.050600000045,3821.9609999999607,3868.619999999985,3986.4000000000574,1055.0369999999866,3996.3660000000327,12607635,808651309,789430727,57433418,57347209,42064761,15282448,38212836,1557611,36655225,36655225,0,86209,526800.0,183410.0,0.0,847401.0
2013-07-26,3283.750000000045,4024.6750000000775,4273.4999999999245,5292.850000000017,4316.974999999965,3902.4824999999482,3949.7499999999845,4070.000000000059,1089.372499999982,4067.22499999996,12929267,814180757,808651309,44721817,44633279,33299638,11333641,39192369,1035450,38156919,38156919,0,88538,469737.0,48517.0,0.0,517196.0
2013-07-29,3525.255999999978,4814.26399999989,5236.0,5700.576000000032,4446.7919999999585,4017.5352000000016,4065.039999999984,4188.800000000052,1096.2280000000205,4159.288000000047,13269776,879801198,844888486,53512076,53423360,41820041,11603319,18599364,1202332,17397032,17397032,0,88716,559277.0,121890.0,0.0,521165.0
2013-07-30,3531.770000000048,4822.840000000042,5179.800000000071,5712.33000000006,4526.989999999982,4093.6909999999602,4141.899999999989,4268.0000000000455,1159.9259999999836,4245.689999999976,13455120,914233859,879801198,47481243,47387817,33779762,13608055,13048582,1318647,11729935,11729935,0,93426,510220.0,88782.0,0.0,719645.0
2013-07-31,3613.9230000000434,4856.666999999933,5327.581000000079,5217.180000000072,4557.216499999941,4122.842300000044,4171.789999999992,4298.800000000043,1180.9976000000115,4290.983999999929,13491862,959269456,914233859,54569637,54465204,46575247,7889957,9534040,1191442,8342598,8342598,0,104433,651652.0,68160.0,0.0,471630.0
2013-08-01,3513.5099999999807,4499.550000000051,5306.399999999958,4797.539999999937,4616.865000000036,4177.107000000084,4227.299999999997,4356.000000000038,1190.5739999999967,4368.869999999983,13713924,993774950,959269456,53369962,53261431,29717147,23544284,18864468,1935577,16928891,16928891,0,108531,897850.0,156126.0,0.0,881601.0
2013-08-02,3289.6929000000437,4361.453999999963,4600.0500000000875,4693.061999999918,4710.754500000051,4266.217799999937,4316.970000000007,4448.400000000031,1235.4419999999848,4485.806999999923,13985399,991688717,993774950,38064536,37949861,25198904,12750957,40150769,1140935,39009834,39009834,0,114675,130341.0,295063.0,0.0,715531.0
2013-08-05,3239.4999999999404,4552.020000000078,4503.9499999999925,4780.874999999906,4864.475000000036,4409.690999999932,4462.1500000000215,4598.000000000018,1240.9375,4705.635000000018,14330527,1057898694,1030063998,43632203,43520180,18112798,25407382,15797507,1757807,14039700,14039700,0,112023,583097.0,150694.0,0.0,1024016.0
2013-08-06,3289.099999999939,4314.025999999901,4826.488999999979,4881.130499999934,4937.681800000043,4476.677300000066,4530.470000000028,4668.400000000012,1277.443999999971,4781.926999999977,14554900,1092363491,1057898694,50866184,50749514,38122413,12627101,16401387,2956008,13445379,13445379,0,116670,1331960.0,417870.0,0.0,1206178.0
2013-08-07,3360.942000000011,4198.332000000032,4727.323999999947,4964.719999999942,5042.225999999956,4574.154800000032,4628.6800000000385,4769.600000000004,1313.591200000023,4887.756000000014,14908863,1106562866,1092363491,43908081,43781998,29774898,14007100,29708706,1552975,28155731,28155731,0,126083,417462.0,261378.0,0.0,874135.0
2013-08-08,3464.6894999999663,4115.5574999999335,4839.900000000059,5031.524999999973,5092.188000000087,4620.680999999924,4675.650000000043,4818.0,1330.972500000017,4945.019999999977,15055960,1121504665,1106562866,44493490,44364177,32476695,11887482,29551691,1136867,28414824,28414824,0,129313,321867.0,86103.0,0.0,728897.0
2013-08-09,3211.2280000000774,4011.279999999956,4738.600000000099,4997.5699999999215,5124.410199999903,4650.219599999923,4705.540000000046,4848.799999999997,1341.5747999999978,4973.325999999933,15312950,1124798836,1121504665,33425186,33294291,26619531,6674760,30131015,3500833,26630182,26630182,0,130895,2442888.0,153280.0,0.0,904665.0
2013-08-12,3364.70750000004,4140.480000000059,4730.679999999983,5107.5,5277.749999999964,4789.699999999956,4846.450000000061,4993.999999999985,1349.060999999968,5119.985000000071,15767420,1224880431,1158946598,94520502,94394024,77433832,16960192,28586669,2062992,26523677,26523677,0,126478,1409937.0,208170.0,0.0,444885.0
2013-08-13,3734.8974000000435,4286.916000000136,4817.279999999921,5238.79200000001,5384.699999999955,4886.528399999915,4944.660000000071,5095.199999999977,1406.1594000000177,5230.685999999895,16085555,1244810922,1224880431,48720919,48590757,28460439,20130318,28790328,3646077,25144251,25144251,0,130162,1782390.0,72720.0,0.0,1790967.0
2013-08-14,4008.644999999945,4498.784999999972,4854.719999999919,5257.335000000101,5426.549999999952,4924.506599999913,4983.090000000075,5134.799999999974,1423.8567000000023,5276.007,16148677,1260320406,1244810922,30541167,30394880,22991641,7403239,15031683,2060843,12970840,12970840,0,146287,289344.0,841860.0,0.0,929639.0
2013-08-15,3854.2419999999183,4688.95600000001,4835.705999999998,5302.957999999892,5459.334800000042,4954.045199999912,5012.980000000078,5165.599999999971,1430.4015999999756,5310.002000000083,16282541,1250082301,1260320406,42421222,42271280,30267955,12003325,52659327,6412165,46247162,46247162,0,149942,5159036.0,236717.0,0.0,1016412.0
2013-08-16,3786.6199999999203,4450.959999999946,4511.139999999983,5380.80000000007,5487.353999999985,4979.363999999911,5038.60000000008,5191.999999999969,1438.4200000000365,5338.320000000018,16371300,1258025993,1250082301,41683536,41535972,29961502,11574470,33739844,1588741,32151103,32151103,0,147564,153854.0,113378.0,0.0,1321509.0
2013-08-19,4090.405999999886,4918.583999999999,6197.511999999945,5919.8500000001295,5598.0745999999,5072.199599999908,5132.54000000009,5288.799999999961,1440.8373999999792,5447.464000000101,16671278,1396351270,1315506321,109184209,109039743,93558910,15480833,28339260,2827001,25512259,24585884,926375,144466,1199195.0,326877.0,0.0,1300929.0
2013-08-20,4725.003999999962,5428.727999999936,6702.541999999883,6397.2679999998845,5717.573599999905,5173.4747999999045,5235.142600000002,5394.399999999952,1506.5088000000237,5566.039999999961,17045428,1419895554,1396351270,53675509,53525266,32336915,21188351,30131225,2331156,27800069,22614527,5185542,150243,882520.0,178236.0,0.0,1270400.0
2013-08-21,4304.807999999911,5164.056000000055,6609.599999999879,6168.959999999961,5701.39200000006,5165.035199999905,5226.4800000001,5385.599999999953,1506.376800000013,5563.080000000068,17010499,1428096658,1419895554,38184446,38016570,22840717,15175853,29983342,1487466,28495876,28056688,439188,167876,565500.0,428944.0,0.0,493022.0
2013-08-22,4199.606999999971,5147.86499999984,6312.546000000064,6214.967999999884,5832.162000000023,5278.969799999901,5341.770000000111,5504.399999999943,1524.5936999999676,5687.046000000032,17330213,1492226723,1428096658,89130737,88961196,75601493,13359703,25000672,2011337,22989335,4751853,18237482,169541,194769.0,303499.0,0.0,1513069.0
2013-08-23,4133.489999999952,5252.634000000012,6546.4860000000745,6350.255999999874,5902.092000000027,5342.2667999998985,5405.820000000118,5570.399999999938,1549.0776000000237,5757.767999999817,17527771,1504424975,1492226723,37878575,37707135,21923609,15783526,25680323,2928413,22751910,16963681,5788229,171440,1548371.0,269650.0,0.0,1110392.0
2013-08-26,3929.8779999998965,5205.76200000009,6723.623999999909,6479.057999999846,6032.498600000058,5460.421199999894,5525.5093999999835,5693.599999999928,1533.389999999954,5882.524000000044,17740521,1613522680,1559664125,74496541,74325753,50885562,23440191,20637986,3918170,16719816,7070763,9649053,170788,1767149.0,1293550.0,0.0,857471.0
2013-08-27,3937.859999999933,5513.789999999871,7050.419999999815,6515.940000000134,6105.778999999891,5527.937999999892,5593.830999999979,5763.999999999922,1589.160999999994,5944.779999999829,17990812,1598653075,1613522680,45268028,45089370,33855884,11233486,60137633,1713586,58424047,5683840,52740207,178658,590630.0,50648.0,0.0,1072308.0
2013-08-28,4092.4579999999514,5626.139000000018,6624.8150000001315,6511.209000000093,6154.010599999973,5574.35579999989,5640.802099999976,5812.399999999918,1602.3729999999728,5981.488000000017,18065830,1611558533,1598653075,46602319,46414328,26923896,19490432,33696861,3193850,30503011,27302135,3200876,187991,1936794.0,98478.0,0.0,1158578.0
2013-08-29,3956.4659999999576,5777.484000000176,5887.199999999912,6560.2140000000445,6232.4040000001005,5646.092399999888,5713.393799999972,5887.199999999912,1765.3572000000336,6132.053999999889,18322649,1623132231,1611558533,47518666,47312464,36868023,10444441,35944968,9618879,26326089,6450910,19875179,206202,221154.0,7800263.0,0.0,1597462.0
2013-08-30,4086.798000000104,5031.718499999821,5806.916999999934,6472.335000000083,6273.248399999901,5684.070599999886,5751.824699999969,5926.799999999908,1901.021099999981,6312.041999999907,18503768,1658990323,1623132231,56488844,56266206,37466526,18799680,20630752,7687108,12943644,6673809,6269835,222638,1390412.0,5335986.0,0.0,960710.0
2013-09-02,4256.5079999999025,5276.2200000001485,5851.499999999909,6486.000000000132,6565.101000000133,5949.917999999877,6020.840999999952,6203.999999999885,2040.9749999999883,6808.889999999906,19435305,1804592678,1681533463,140844739,140622201,103991419,36630782,17785524,4903664,12881860,6708784,6173076,222538,3306506.0,636750.0,0.0,960408.0
2013-09-03,4236.847199999933,5295.0,5313.3559999999125,6386.476000000116,6573.989600000242,5958.357599999877,6029.381199999952,6212.799999999885,1742.2667999999508,6834.080000000128,19530669,1845772414,1804592678,80507880,80314060,51070577,29243483,39328144,3826502,35501642,13629313,21872329,193820,2504828.0,45006.0,0.0,1276668.0
2013-09-04,4264.095000000116,4963.661999999946,5316.993000000027,6500.439000000108,6607.715400000057,5987.8961999998755,6059.27189999995,6243.599999999882,1752.3230999999691,6884.9879999998775,19599458,1851686522,1845772414,33366708,33149101,22039123,11109978,27452600,5123201,22329399,4079727,18249672,217607,3046382.0,662130.0,0.0,1414689.0
2013-09-05,4129.809999999945,4938.624000000084,5294.4449999999215,6536.245999999836,6654.28140000006,6030.380000000031,6102.258700000108,6287.5999999998785,1768.2445999999757,6869.202999999794,19772134,1868602123,1851686522,38716505,38491932,18051917,20440015,21800904,4026090,17774814,5870621,11904193,224573,2333203.0,549920.0,0.0,1142967.0
2013-09-06,4247.999999999887,4995.360000000065,5351.040000000033,6456.96000000015,6706.511999999864,6076.511999999872,6148.800000000194,6335.9999999998745,2168.3519999999407,6996.960000000181,19977607,1874107406,1868602123,38923186,38648043,17570388,21077655,33417903,2960086,30457817,16081369,14376448,275143,98699.0,330910.0,0.0,2530477.0
2013-09-09,4315.760000000076,5252.812000000098,5489.291999999938,6795.843999999942,6882.159199999856,6236.864399999867,6311.0600000002105,6503.199999999861,2128.32000000006,7206.7280000002065,20439302,1915408239,1911716952,49312473,49051334,28145783,20905551,45621186,5640803,39980383,22470137,17510246,261139,2374201.0,723575.0,0.0,2543027.0
2013-09-10,4296.92200000006,5379.5,5559.06400000011,7215.208000000099,6907.871600000272,6262.183199999866,6336.680000000213,6529.5999999998585,2109.357599999954,7388.836000000114,20569832,1972964019,1915408239,94684143,94427415,59214774,35212641,37128363,4737939,32390424,14101974,18288450,256728,2799147.0,280850.0,0.0,1657942.0
2013-09-11,4536.07000000007,5240.409999999963,5669.334999999854,7732.689999999899,7007.129499999921,6350.798999999863,6426.350000000222,6621.999999999851,1885.3135000000061,7508.444999999734,20898464,2000234396,1972964019,98944459,98709145,71068310,27640835,71674082,4887487,66786595,8915582,57871013,235314,3218626.0,318332.0,0.0,1350529.0
2013-09-12,4489.071000000051,5286.421999999958,5749.40000000016,8130.861999999777,7044.981899999841,6384.557399999861,6460.510000000226,6657.199999999848,1906.0774000000433,7566.513000000216,20953275,2023660860,2000234396,68573684,68334304,43875535,24458769,45147220,6134732,39012488,6425604,32586884,239380,3355912.0,780960.0,0.0,1997860.0
2013-09-13,4510.205999999931,5404.979999999975,5831.9279999998835,8301.867600000076,7050.849400000162,6389.080000000053,6464.780000000226,6661.599999999848,2090.076999999986,7467.047999999774,21038939,2034804131,2023660860,71655946,71385620,41601351,29784269,60512675,6513431,53999244,23753632,30245612,270326,4713046.0,433663.0,0.0,1366722.0
2013-09-16,4689.471999999852,5408.171000000071,5599.927999999932,8839.530000000097,7260.107099999929,6578.980000000064,6656.930000000246,6859.599999999831,2204.89369999994,7704.57800000001,21512354,2157977503,2041505882,161656210,161382323,134330619,27051704,45184589,4585488,40599101,10354185,30244916,273887,919927.0,1207490.0,0.0,2458071.0
2013-09-17,5480.517000000109,5621.726999999912,5711.160000000098,9156.683999999987,7308.245100000162,6621.180000000067,6699.63000000025,6903.599999999828,1960.4654999999318,7606.511999999938,21724434,2175921520,2157977503,76204815,75960756,50504307,25456449,58260798,3075100,55185698,18859824,36325874,244059,1426945.0,545910.0,0.0,1102245.0
2013-09-18,5580.932999999798,5882.180999999803,6170.092499999859,9277.496999999785,7309.0296000001,6621.180000000067,6699.63000000025,6903.599999999828,2097.1254000000586,7678.68600000008,21656049,2171644907,2175921520,42926608,42645589,27232465,15413124,47203221,2788140,44415081,23818473,20596608,281019,1007160.0,269990.0,0.0,1510990.0
2013-09-22,5688.216000000088,6353.671999999979,6379.143999999817,9469.216000000257,7421.426399999826,6718.2400000000725,6797.84000000026,7004.799999999819,2000.6663999999435,7676.624000000113,22010349,2223544226,2203992112,67514169,67243692,36029859,31213833,47962055,4795752,43166303,22340098,20826205,270477,1908203.0,936280.0,0.0,1951269.0
2013-09-23,6165.0399999998335,6838.911999999958,7029.600000000185,9702.464000000095,7549.467199999871,6819.520000000079,6900.320000000271,7110.3999999998105,1995.1136000000004,7633.984000000179,22312282,2219916507,2223544226,54658160,54396879,22328835,32068044,58285879,13664826,44621053,30024517,14596536,261281,8130005.0,2411151.0,0.0,3123670.0
2013-09-24,5916.772800000143,7268.279999999758,7863.002099999697,10000.269299999947,7649.864699999964,6908.140000000084,6989.99000000028,7202.799999999803,2174.09969999996,7803.578999999806,22608704,2237486574,2219916507,74250859,73973408,48700610,25272798,56680792,6876331,49804461,22552195,27252266,277451,4040955.0,750600.0,0.0,2084776.0
2013-09-25,5485.733000000014,6418.324000000178,8494.117499999897,9597.983999999858,7656.588500000242,6916.5800000000845,6998.530000000281,7211.599999999802,2277.390500000035,7860.644000000156,22600038,2209922580,2237486574,47274168,46973702,20104663,26869039,74838162,3878952,70959210,41253857,29705353,300466,1503133.0,1140040.0,0.0,1235779.0
2013-09-26,5122.352000000101,6674.5300000001125,9169.865999999876,8946.010000000195,7692.087200000201,6946.120000000086,7028.420000000284,7242.3999999998,2378.305399999953,8060.46199999991,22717739,2230173744,2209922580,68718693,68406175,50986446,17419729,48467529,8338252,40129277,21599517,18529760,312518,4430820.0,2214743.0,0.0,1692689.0
2013-09-27,5225.182000000141,6052.359999999943,9383.647999999806,8847.799999999897,7755.851999999961,7005.20000000009,7088.20000000029,7303.999999999794,2290.6339999999254,8238.579999999853,23011557,2244700262,2230173744,42166121,41868120,27267839,14600281,27639603,3797939,23841664,11564733,12276931,298001,1869592.0,347456.0,0.0,1580891.0
2013-09-29,5291.999999999945,6298.3199999997805,9707.040000000172,8904.0000000001,7850.976000000207,7089.600000000095,7173.600000000299,7391.999999999787,2206.8479999999395,8443.679999999807,23325197,2220728986,2226590340,34433848,34151131,14055266,20095865,40295202,6378811,33916391,22588058,11328333,282717,1442498.0,1913594.0,0.0,3022719.0
2013-09-30,5267.310000000196,7082.055000000282,8044.190000000211,8930.500000000096,7869.623999999955,7110.700000000096,7194.950000000301,7413.999999999785,2217.7970000000014,8542.949999999802,23328286,2218945683,2220728986,28398050,28118755,8182452,19936303,30181353,9842291,20339062,14254160,6084902,279295,7089923.0,526812.0,0.0,2225556.0
2013-10-08,5386.779999999929,7753.645000000046,8436.699999999892,9139.169999999864,8239.90249999989,7448.300000000117,7536.550000000336,7765.999999999756,2604.434000000062,8835.590000000135,24589863,2313490526,2281539710,109806912,109484867,70814343,38670524,77856096,7122908,70733188,11651151,59082037,322045,3069548.0,2345844.0,0.0,1707516.0
2013-10-09,5752.9599999999555,8013.560000000318,8572.479999999816,9279.139999999807,8309.396000000104,7511.60000000012,7600.600000000342,7831.999999999751,2302.4300000000353,8885.760000000248,24801439,2351913449,2313490526,72422299,72136946,38830790,33306156,33999376,8883001,25116375,10678490,14437885,285353,6629023.0,682519.0,0.0,1571459.0
2013-10-10,5973.760000000213,8041.599999999631,8865.505000000247,9154.50000000031,8379.239499999876,7574.900000000124,7664.650000000349,7897.999999999745,2349.2959999999775,8951.664999999986,25048775,2371763531,2351913449,72094613,71796476,36544934,35251542,52244531,7061370,45183161,11880117,33303044,298137,3916813.0,1663448.0,0.0,1481109.0
2013-10-11,5651.3000000000975,7765.980000000289,8836.08099999984,9115.0,8509.5817000003,7693.060000000131,7784.210000000361,8021.199999999735,2392.1406000000065,9087.65499999987,25441803,2426771815,2371763531,82674757,82372594,43296363,39076231,27666473,3564500,24101973,12783375,11318598,302163,1178582.0,743552.0,0.0,1642366.0
2013-10-12,5587.8420000000715,7838.116000000148,8857.107999999807,8870.030000000228,8615.835800000024,7790.120000000137,7882.420000000371,8122.399999999727,2414.9371999999607,9193.079999999567,25727914,2477349968,2426771815,81901136,81593823,42609762,38984061,31322983,6943327,24379656,6524375,17855281,307313,5026766.0,434681.0,0.0,1481880.0
2013-10-14,5945.830000000084,7363.049999999647,8881.499999999682,9263.500000000333,8912.25100000033,8060.2000000001535,8155.700000000399,8403.999999999704,2440.407000000095,9473.59999999983,26700571,2606312149,2516649474,130315300,130020702,75489865,54530837,40652625,7783174,32869451,14896890,17972561,294598,1246108.0,2678841.0,0.0,3858225.0
2013-10-15,6128.02200000023,7559.270000000135,7633.977999999742,9265.757999999787,9172.372999999918,8296.520000000146,8394.820000000424,8650.399999999683,2645.449600000119,9611.773999999907,27430580,2656917255,2606312149,85704304,85388933,41656981,43731952,35099198,7010950,28088248,10639886,17448362,315371,2290112.0,821219.0,0.0,3899619.0
2013-10-16,6116.110000000097,6634.628000000162,6720.713999999949,9723.713999999947,9340.130799999803,8448.440000000122,8548.54000000044,8808.79999999967,2628.6260000001166,9807.798000000028,27860343,2706603364,2656917255,100948091,100610077,49684423,50925654,51261982,8108405,43153577,8534326,34619251,338014,5552783.0,251813.0,0.0,2303809.0
2013-10-17,6394.989999999678,7051.750000000243,7138.054999999725,9956.649999999474,9826.350500000117,8883.100000000055,8988.350000000484,9261.999999999633,2717.1340000000982,10291.344999999797,29315425,2770531817,2706603364,87203217,86867001,35808629,51058372,23274764,5594997,17679767,4512267,13167500,336216,1834809.0,600722.0,0.0,3159466.0
2013-10-18,6389.129000000281,7419.564999999737,7606.91700000026,9821.076999999974,9941.365499999943,8984.38000000004,9090.830000000495,9367.599999999624,2750.029300000107,10385.262000000079,29543394,2852744912,2770531817,98151450,97805294,49716816,48088478,15938355,4197983,11740372,9265936,2474436,346156,961210.0,473625.0,0.0,2763148.0
2013-10-21,6946.200000000309,8053.959999999619,8330.90000000014,10630.410000000458,10617.924999999605,9579.399999999947,9692.900000000556,9987.999999999573,3041.8000000000534,11095.760000000379,31532523,2936339884,2876090997,106030290,105669458,38771841,66897617,45781403,15776938,30004465,12306385,17698080,360832,9194806.0,3614460.0,0.0,2967672.0
2013-10-22,7077.587999999751,8251.001999999999,8348.400000000356,10915.533000000454,10855.93470000035,9786.179999999915,9902.130000000578,10203.599999999555,2944.666200000057,11237.873999999338,32332760,2985778843,2936339884,145611496,145262654,80208449,65054205,96172537,17065810,79106727,39792495,39314232,348842,13865208.0,522130.0,0.0,2678472.0
2013-10-23,8818.739999999929,9313.33600000033,9031.042999999994,11231.062000000404,10928.47190000031,9845.259999999906,9961.910000000584,10265.19999999955,2969.909000000043,11256.725000000244,32441599,3018083493,2985778843,106093112,105727597,55822529,49905068,73788462,12090715,61697747,24671186,37026561,365515,8332890.0,1460982.0,0.0,2296843.0
2013-10-24,9672.207999999728,11072.88000000037,11550.811999999434,12776.399999999465,11090.861599999818,9984.756599999757,10102.820000000598,10410.399999999538,3031.0826000000675,11401.753999999994,32809173,3029430402,3018083493,69530830,69158484,20287230,48871254,58183921,7363228,50820693,24085834,26734859,372346,1924964.0,1541584.0,0.0,3896680.0
2013-10-25,10332.322000000346,11572.105999999467,13869.491999999293,15194.452000000265,11098.906000000194,9984.756599999757,10102.820000000598,10410.399999999538,3018.542799999831,11382.825999999588,32808821,3047141053,3029430402,69936453,69558797,26323562,43235235,52225802,11129979,41095823,15388480,25707343,377656,7830378.0,1266472.0,0.0,2033129.0
2013-10-28,10756.88399999985,11872.84400000028,15516.696000000611,15713.202000000776,11396.13500000043,10237.962599999784,10359.020000000624,10674.399999999516,3015.032799999973,11506.518000000578,33681046,3149927232,3075023321,129993375,129632574,67259575,62372999,55089464,12996206,42093258,16468981,25624277,360801,7322112.0,2547181.0,0.0,3126913.0
2013-10-29,10981.61999999981,12219.090000000217,15936.439999999393,15220.140000000416,11600.601999999777,10423.399999999816,10546.900000000644,10867.9999999995,3183.8300000001705,11742.380000000468,34172473,3208924908,3149927232,102050144,101671985,50888468,50783517,43052468,5155539,37896929,22855535,15041394,378159,2120041.0,725115.0,0.0,2310383.0
2013-10-30,13200.519999999253,14116.732000000646,16024.876000000344,14952.176000000985,11853.966000000035,10650.017999999767,10777.480000000667,11105.59999999948,3256.464799999866,12021.81200000055,34799171,3254679467,3208924908,109663260,109262475,57375950,51886525,63908701,7047733,56860968,22494418,34366550,400785,4366929.0,378390.0,0.0,2302414.0
