report_date,tBalance,yBalance,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,share_amt,category1,category2,category3,category4,index,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,mfd_daily_yield,mfd_7daily_yield
2013-07-11,501939511,461373114,44075197,44021031,38701392,5319639,3508800,981695,2527105,2527105,0,54166,325455.0,2194.0,0.0,654046.0,8.0,3.3547,3.81,3.906,4.351,4.6955,4.2199,4.2705,4.4,1.2616,4.959
2013-07-12,527630842,501939511,34183904,34126845,28358933,5767912,8492573,1371072,7121501,7121501,0,57059,483604.0,173268.0,0.0,714200.0,9.0,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,1.2487,4.8839999999999995
2013-07-13,539312730,527630842,15164717,15103661,8461168,6642493,3482829,309654,3173175,3173175,0,61056,0.0,45584.0,0.0,264070.0,9.0,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,1.2487,4.8839999999999995
2013-07-14,559143926,539312730,22615303,22554354,18447507,4106847,2784107,592038,2192069,2192069,0,60949,0.0,182560.0,0.0,409478.0,9.0,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,1.2487,4.8839999999999995
2013-07-15,594164538,559143926,48128555,48069686,28401224,19668462,13107943,1521794,11586149,11586149,0,58869,679000.0,222000.0,0.0,620794.0,10.0,3.2998,3.809,3.94,4.2705,4.6785,4.2185,4.2701,4.4,1.1985,4.6819999999999995
2013-07-16,632922404,594164538,50622847,50559618,39657799,10901819,11864981,1529687,10335294,10335294,0,63229,744302.0,60000.0,0.0,725385.0,11.0,3.013,3.706,4.0,4.424,4.6703,4.2176,4.27,4.4,1.2214,4.6339999999999995
2013-07-17,651026573,632922404,29015682,28946382,25167271,3779111,10911513,2109498,8802015,8802015,0,69300,1348120.0,50000.0,0.0,711378.0,12.0,2.968,3.596,3.992,4.53,4.662,4.2166,4.27,4.4,1.1829,4.582
2013-07-18,663495722,651026573,24234505,24160561,12633212,11527349,11765356,3195410,8569946,8569946,0,73944,577438.0,2081710.0,0.0,536262.0,13.0,2.998,3.634,3.996,4.61,4.6578,4.2173,4.27,4.4,1.1896,4.543
2013-07-19,687931077,663495722,33680124,33603190,25296006,8307184,9244769,1204252,8040517,8040517,0,76934,713031.0,140760.0,0.0,350461.0,14.0,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,1.2032,4.518
2013-07-20,703769013,687931077,20439079,20360981,14965131,5395850,4601143,1780862,2820281,2820281,0,78098,229770.0,376900.0,0.0,1174192.0,14.0,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,1.2032,4.518
2013-07-21,722230076,703769013,21142394,21064648,14155152,6909496,2681331,761299,1920032,1920032,0,77746,100000.0,26681.0,0.0,634618.0,14.0,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,1.2032,4.518
2013-07-22,743534705,722230076,40448896,40374049,33166661,7207388,19144267,605231,18539036,18539036,0,74847,20220.0,64584.0,0.0,520427.0,15.0,3.1035,3.925,4.099,4.806,4.6515,4.2173,4.27,4.4,1.1547,4.447
2013-07-23,777266801,743534705,58136147,58056583,48105087,9951496,24404051,2173231,22230820,22230820,0,79564,483047.0,2000.0,0.0,1688184.0,16.0,3.1355,3.959,4.11,4.99,4.6517,4.2173,4.27,4.4,1.1826,4.426
2013-07-24,789430727,777266801,48422518,48337561,38512434,9825127,36258592,712047,35546545,35546545,0,84957,320000.0,12669.0,0.0,379378.0,17.0,3.23,4.011,4.131,5.293,4.661,4.2189,4.27,4.4,1.1805,4.4239999999999995
2013-07-25,808651309,789430727,57433418,57347209,42064761,15282448,38212836,1557611,36655225,36655225,0,86209,526800.0,183410.0,0.0,847401.0,18.0,3.3495,4.132,4.258,5.468,4.6601,4.2185,4.27,4.4,1.1645,4.4110000000000005
2013-07-26,814180757,808651309,44721817,44633279,33299638,11333641,39192369,1035450,38156919,38156919,0,88538,469737.0,48517.0,0.0,517196.0,19.0,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,1.1777,4.397
2013-07-27,816316315,814180757,17194451,17102400,10482577,6619823,15058893,1922114,13136779,13136779,0,92051,1005922.0,58834.0,0.0,857358.0,19.0,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,1.1777,4.397
2013-07-28,844888486,816316315,36255382,36164421,32964064,3200357,7683211,1161872,6521339,6521339,0,90961,551807.0,27184.0,0.0,582881.0,19.0,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,1.1777,4.397
2013-07-29,879801198,844888486,53512076,53423360,41820041,11603319,18599364,1202332,17397032,17397032,0,88716,559277.0,121890.0,0.0,521165.0,20.0,3.703,5.057,5.5,5.988,4.671,4.2201,4.27,4.4,1.1515,4.369
2013-07-30,914233859,879801198,47481243,47387817,33779762,13608055,13048582,1318647,11729935,11729935,0,93426,510220.0,88782.0,0.0,719645.0,21.0,3.641,4.972,5.34,5.889,4.667,4.2203,4.27,4.4,1.1958,4.377
2013-07-31,959269456,914233859,54569637,54465204,46575247,7889957,9534040,1191442,8342598,8342598,0,104433,651652.0,68160.0,0.0,471630.0,22.0,3.699,4.971,5.453,5.34,4.6645,4.2199,4.27,4.4,1.2088,4.3919999999999995
2013-08-01,993774950,959269456,53369962,53261431,29717147,23544284,18864468,1935577,16928891,16928891,0,108531,897850.0,156126.0,0.0,881601.0,23.0,3.549,4.545,5.36,4.846,4.6635,4.2193,4.27,4.4,1.2026,4.413
2013-08-02,991688717,993774950,38064536,37949861,25198904,12750957,40150769,1140935,39009834,39009834,0,114675,130341.0,295063.0,0.0,715531.0,24.0,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,1.222,4.437
2013-08-03,992582709,991688717,21595789,21479421,10093238,11386183,20701797,1725397,18976400,18976400,0,116368,1029086.0,69092.0,0.0,627219.0,24.0,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,1.222,4.437
2013-08-04,1030063998,992582709,45745254,45630463,41159712,4470751,8263965,1389042,6874923,6874923,0,114791,591302.0,106568.0,0.0,691172.0,24.0,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,1.222,4.437
2013-08-05,1057898694,1030063998,43632203,43520180,18112798,25407382,15797507,1757807,14039700,14039700,0,112023,583097.0,150694.0,0.0,1024016.0,25.0,3.1,4.356,4.31,4.575,4.655,4.2198,4.27,4.4,1.1875,4.503
2013-08-06,1092363491,1057898694,50866184,50749514,38122413,12627101,16401387,2956008,13445379,13445379,0,116670,1331960.0,417870.0,0.0,1206178.0,26.0,3.1,4.066,4.549,4.6005,4.6538,4.2193,4.27,4.4,1.204,4.507
2013-08-07,1106562866,1092363491,43908081,43781998,29774898,14007100,29708706,1552975,28155731,28155731,0,126083,417462.0,261378.0,0.0,874135.0,27.0,3.1005,3.873,4.361,4.58,4.6515,4.2197,4.27,4.4,1.2118,4.5089999999999995
2013-08-08,1121504665,1106562866,44493490,44364177,32476695,11887482,29551691,1136867,28414824,28414824,0,129313,321867.0,86103.0,0.0,728897.0,28.0,3.1641,3.7585,4.42,4.595,4.6504,4.2198,4.27,4.4,1.2155,4.516
2013-08-09,1124798836,1121504665,33425186,33294291,26619531,6674760,30131015,3500833,26630182,26630182,0,130895,2442888.0,153280.0,0.0,904665.0,29.0,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,1.2174,4.513
2013-08-10,1118799735,1124798836,20615307,20482505,15003071,5479434,26614408,1290443,25323965,25323965,0,132802,722889.0,168430.0,0.0,399124.0,29.0,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,1.2174,4.513
2013-08-11,1158946598,1118799735,55519543,55388879,49401320,5987559,15372680,925608,14447072,14447072,0,130664,126543.0,151160.0,0.0,647905.0,29.0,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,1.2174,4.513
2013-08-12,1224880431,1158946598,94520502,94394024,77433832,16960192,28586669,2062992,26523677,26523677,0,126478,1409937.0,208170.0,0.0,444885.0,30.0,2.9645,3.648,4.168,4.5,4.65,4.22,4.27,4.4,1.1886,4.511
2013-08-13,1244810922,1224880431,48720919,48590757,28460439,20130318,28790328,3646077,25144251,25144251,0,130162,1782390.0,72720.0,0.0,1790967.0,31.0,3.2253,3.702,4.16,4.524,4.65,4.2198,4.27,4.4,1.2143,4.5169999999999995
2013-08-14,1260320406,1244810922,30541167,30394880,22991641,7403239,15031683,2060843,12970840,12970840,0,146287,289344.0,841860.0,0.0,929639.0,32.0,3.435,3.855,4.16,4.505,4.65,4.2198,4.27,4.4,1.2201,4.521
2013-08-15,1250082301,1260320406,42421222,42271280,30267955,12003325,52659327,6412165,46247162,46247162,0,149942,5159036.0,236717.0,0.0,1016412.0,33.0,3.283,3.994,4.119,4.517,4.6502,4.2198,4.27,4.4,1.2184,4.523
2013-08-16,1258025993,1250082301,41683536,41535972,29961502,11574470,33739844,1588741,32151103,32151103,0,147564,153854.0,113378.0,0.0,1321509.0,34.0,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,1.219,4.524
2013-08-17,1271021529,1258025993,17670519,17522875,10792404,6730471,4674983,1555761,3119222,3119222,0,147644,733014.0,443937.0,0.0,378810.0,34.0,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,1.219,4.524
2013-08-18,1315506321,1271021529,59703092,59555804,48363051,11192753,15218300,1049130,14169170,13607144,562026,147288,248919.0,17600.0,0.0,782611.0,34.0,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,1.219,4.524
2013-08-19,1396351270,1315506321,109184209,109039743,93558910,15480833,28339260,2827001,25512259,24585884,926375,144466,1199195.0,326877.0,0.0,1300929.0,35.0,3.403,4.092,5.156,4.925,4.6573,4.2198,4.27,4.4,1.1987,4.532
2013-08-20,1419895554,1396351270,53675509,53525266,32336915,21188351,30131225,2331156,27800069,22614527,5185542,150243,882520.0,178236.0,0.0,1270400.0,36.0,3.854,4.428,5.467,5.218,4.6636,4.2198,4.2701,4.4,1.2288,4.54
2013-08-21,1428096658,1419895554,38184446,38016570,22840717,15175853,29983342,1487466,28495876,28056688,439188,167876,565500.0,428944.0,0.0,493022.0,37.0,3.517,4.219,5.4,5.04,4.658,4.2198,4.27,4.4,1.2307,4.545
2013-08-22,1492226723,1428096658,89130737,88961196,75601493,13359703,25000672,2011337,22989335,4751853,18237482,169541,194769.0,303499.0,0.0,1513069.0,38.0,3.357,4.115,5.046,4.968,4.662,4.2198,4.27,4.4,1.2187,4.546
2013-08-23,1504424975,1492226723,37878575,37707135,21923609,15783526,25680323,2928413,22751910,16963681,5788229,171440,1548371.0,269650.0,0.0,1110392.0,39.0,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,1.2236,4.548
2013-08-24,1534475645,1504424975,44367268,44188538,32022342,12166196,14316598,3151997,11164601,5951141,5213460,178730,1213141.0,232702.0,0.0,1706154.0,39.0,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,1.2236,4.548
2013-08-25,1559664125,1534475645,43306288,43128521,28531519,14597002,18117808,1946279,16171529,8774008,7397521,177767,1197869.0,255174.0,0.0,493236.0,39.0,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,1.2236,4.548
2013-08-26,1613522680,1559664125,74496541,74325753,50885562,23440191,20637986,3918170,16719816,7070763,9649053,170788,1767149.0,1293550.0,0.0,857471.0,40.0,3.037,4.023,5.196,5.007,4.6619,4.2198,4.2701,4.4,1.185,4.546
2013-08-27,1598653075,1613522680,45268028,45089370,33855884,11233486,60137633,1713586,58424047,5683840,52740207,178658,590630.0,50648.0,0.0,1072308.0,41.0,3.006,4.209,5.382,4.974,4.6609,4.2198,4.2701,4.4,1.2131,4.538
2013-08-28,1611558533,1598653075,46602319,46414328,26923896,19490432,33696861,3193850,30503011,27302135,3200876,187991,1936794.0,98478.0,0.0,1158578.0,42.0,3.098,4.259,5.015,4.929,4.6586,4.2198,4.2701,4.4,1.213,4.5280000000000005
2013-08-29,1623132231,1611558533,47518666,47312464,36868023,10444441,35944968,9618879,26326089,6450910,19875179,206202,221154.0,7800263.0,0.0,1597462.0,43.0,2.957,4.318,4.4,4.903,4.658,4.2198,4.2701,4.4,1.3194,4.583
2013-08-30,1658990323,1623132231,56488844,56266206,37466526,18799680,20630752,7687108,12943644,6673809,6269835,222638,1390412.0,5335986.0,0.0,960710.0,44.0,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,1.4113,4.686
2013-08-31,1684633610,1658990323,47655303,47459849,25669538,21790311,22012016,3582164,18429852,16052130,2377722,195454,2302440.0,254884.0,0.0,1024840.0,44.0,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,1.4113,4.686
2013-09-01,1681533463,1684633610,56239802,56045782,36564187,19481595,59339949,8984938,50355011,4349781,46005230,194020,3077249.0,4583852.0,0.0,1323837.0,44.0,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,1.4113,4.686
2013-09-02,1804592678,1681533463,140844739,140622201,103991419,36630782,17785524,4903664,12881860,6708784,6173076,222538,3306506.0,636750.0,0.0,960408.0,45.0,3.0188,3.742,4.15,4.6,4.6561,4.2198,4.2701,4.4,1.4475,4.829
2013-09-03,1845772414,1804592678,80507880,80314060,51070577,29243483,39328144,3826502,35501642,13629313,21872329,193820,2504828.0,45006.0,0.0,1276668.0,46.0,3.0006,3.75,3.763,4.523,4.6558,4.2198,4.2701,4.4,1.2339,4.84
2013-09-04,1851686522,1845772414,33366708,33149101,22039123,11109978,27452600,5123201,22329399,4079727,18249672,217607,3046382.0,662130.0,0.0,1414689.0,47.0,3.005,3.498,3.747,4.581,4.6566,4.2198,4.2701,4.4,1.2349,4.852
2013-09-05,1868602123,1851686522,38716505,38491932,18051917,20440015,21800904,4026090,17774814,5870621,11904193,224573,2333203.0,549920.0,0.0,1142967.0,48.0,2.89,3.456,3.705,4.574,4.6566,4.22,4.2703,4.4,1.2374,4.8069999999999995
2013-09-06,1874107406,1868602123,38923186,38648043,17570388,21077655,33417903,2960086,30457817,16081369,14376448,275143,98699.0,330910.0,0.0,2530477.0,49.0,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,1.5058,4.859
2013-09-07,1887839165,1874107406,34076183,33848786,19377542,14471244,20344424,4674119,15670305,8126616,7543689,227397,3108803.0,437665.0,0.0,1127651.0,49.0,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,1.5058,4.859
2013-09-08,1911716952,1887839165,38796909,38571047,23022708,15548339,14919122,3458751,11460371,6590099,4870272,225862,1999704.0,67000.0,0.0,1392047.0,49.0,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,1.5058,4.859
2013-09-09,1915408239,1911716952,49312473,49051334,28145783,20905551,45621186,5640803,39980383,22470137,17510246,261139,2374201.0,723575.0,0.0,2543027.0,50.0,2.92,3.554,3.714,4.598,4.6564,4.2198,4.27,4.4,1.44,4.876
2013-09-10,1972964019,1915408239,94684143,94427415,59214774,35212641,37128363,4737939,32390424,14101974,18288450,256728,2799147.0,280850.0,0.0,1657942.0,51.0,2.8955,3.625,3.746,4.862,4.6549,4.2198,4.27,4.4,1.4214,4.979
2013-09-11,2000234396,1972964019,98944459,98709145,71068310,27640835,71674082,4887487,66786595,8915582,57871013,235314,3218626.0,318332.0,0.0,1350529.0,52.0,3.014,3.482,3.767,5.138,4.6559,4.2198,4.27,4.4,1.2527,4.989
2013-09-12,2023660860,2000234396,68573684,68334304,43875535,24458769,45147220,6134732,39012488,6425604,32586884,239380,3355912.0,780960.0,0.0,1997860.0,53.0,2.967,3.494,3.8,5.374,4.6563,4.2198,4.27,4.4,1.2598,5.001
2013-09-13,2034804131,2023660860,71655946,71385620,41601351,29784269,60512675,6513431,53999244,23753632,30245612,270326,4713046.0,433663.0,0.0,1366722.0,54.0,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,1.3805,4.9319999999999995
2013-09-14,2029466914,2034804131,30975443,30726657,14850336,15876321,36312660,2449865,33862795,9025416,24837379,248786,1076995.0,145605.0,0.0,1227265.0,54.0,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,1.3805,4.9319999999999995
2013-09-15,2041505882,2029466914,37059683,36813279,22142657,14670622,25020715,2993592,22027123,15270867,6756256,246404,971109.0,166305.0,0.0,1856178.0,54.0,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,1.3805,4.9319999999999995
2013-09-16,2157977503,2041505882,161656210,161382323,134330619,27051704,45184589,4585488,40599101,10354185,30244916,273887,919927.0,1207490.0,0.0,2458071.0,55.0,3.008,3.469,3.592,5.67,4.6569,4.22,4.27,4.4,1.4143,4.942
2013-09-17,2175921520,2157977503,76204815,75960756,50504307,25456449,58260798,3075100,55185698,18859824,36325874,244059,1426945.0,545910.0,0.0,1102245.0,56.0,3.493,3.583,3.64,5.836,4.6579,4.22,4.27,4.4,1.2495,4.848
2013-09-18,2171644907,2175921520,42926608,42645589,27232465,15413124,47203221,2788140,44415081,23818473,20596608,281019,1007160.0,269990.0,0.0,1510990.0,57.0,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,1.3366,4.894
2013-09-19,2185004443,2171644907,24778048,24509091,12890601,11618490,11418512,2197881,9220631,6772365,2448266,268957,616026.0,309000.0,0.0,1272855.0,57.0,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,1.3366,4.894
2013-09-20,2198181951,2185004443,28365762,28094290,18054480,10039810,15188254,2462918,12725336,3457926,9267410,271472,496242.0,928200.0,0.0,1038476.0,57.0,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,1.3366,4.894
2013-09-21,2203992112,2198181951,32406340,32133842,18601415,13532427,26596179,2655841,23940338,17880107,6060231,272498,1437726.0,467430.0,0.0,750685.0,57.0,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,1.3366,4.894
2013-09-22,2223544226,2203992112,67514169,67243692,36029859,31213833,47962055,4795752,43166303,22340098,20826205,270477,1908203.0,936280.0,0.0,1951269.0,58.0,3.573,3.991,4.007,5.948,4.6617,4.22,4.27,4.4,1.2567,4.822
2013-09-23,2219916507,2223544226,54658160,54396879,22328835,32068044,58285879,13664826,44621053,30024517,14596536,261281,8130005.0,2411151.0,0.0,3123670.0,59.0,3.815,4.232,4.35,6.004,4.6717,4.22,4.27,4.4,1.2346,4.724
2013-09-24,2237486574,2219916507,74250859,73973408,48700610,25272798,56680792,6876331,49804461,22552195,27252266,277451,4040955.0,750600.0,0.0,2084776.0,60.0,3.6144,4.44,4.8033,6.1089,4.6731,4.22,4.27,4.4,1.3281,4.7669999999999995
2013-09-25,2209922580,2237486574,47274168,46973702,20104663,26869039,74838162,3878952,70959210,41253857,29705353,300466,1503133.0,1140040.0,0.0,1235779.0,61.0,3.347,3.916,5.1825,5.856,4.6715,4.22,4.27,4.4,1.3895,4.796
2013-09-26,2230173744,2209922580,68718693,68406175,50986446,17419729,48467529,8338252,40129277,21599517,18529760,312518,4430820.0,2214743.0,0.0,1692689.0,62.0,3.112,4.055,5.571,5.435,4.6732,4.22,4.27,4.4,1.4449,4.897
2013-09-27,2244700262,2230173744,42166121,41868120,27267839,14600281,27639603,3797939,23841664,11564733,12276931,298001,1869592.0,347456.0,0.0,1580891.0,63.0,3.1477,3.646,5.6528,5.33,4.6722,4.22,4.27,4.4,1.3799,4.963
2013-09-28,2226590340,2244700262,39995798,39706452,14563705,25142747,58105720,6761391,51344329,16876243,34468086,289346,3370698.0,1512093.0,0.0,1878600.0,63.0,3.1477,3.646,5.6528,5.33,4.6722,4.22,4.27,4.4,1.3799,4.963
2013-09-29,2220728986,2226590340,34433848,34151131,14055266,20095865,40295202,6378811,33916391,22588058,11328333,282717,1442498.0,1913594.0,0.0,3022719.0,64.0,3.15,3.749,5.778,5.3,4.6732,4.22,4.27,4.4,1.3136,5.026
2013-09-30,2218945683,2220728986,28398050,28118755,8182452,19936303,30181353,9842291,20339062,14254160,6084902,279295,7089923.0,526812.0,0.0,2225556.0,65.0,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3162,5.07
2013-10-01,2225269915,2218945683,19137499,18857154,6502928,12354226,12813267,2004563,10808704,7433180,3375524,280345,754200.0,269035.0,0.0,981328.0,65.0,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3162,5.07
2013-10-02,2229598749,2225269915,11562708,11272068,4072819,7199249,7233874,2386169,4847705,2880222,1967483,290640,933550.0,226557.0,0.0,1226062.0,65.0,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3162,5.07
2013-10-03,2233476680,2229598749,10101194,9809448,4241086,5568362,6223263,1502285,4720978,1589382,3131596,291746,474244.0,436650.0,0.0,591391.0,65.0,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3162,5.07
2013-10-04,2229972019,2233476680,19907689,19615445,8598422,11017023,23412350,4280664,19131686,11492105,7639581,292244,2273219.0,1173140.0,0.0,834305.0,65.0,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3162,5.07
2013-10-05,2242370252,2229972019,26364686,26074038,16185006,9889032,13966453,1514007,12452446,10249721,2202725,290648,618055.0,105978.0,0.0,789974.0,65.0,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3162,5.07
2013-10-06,2267636377,2242370252,38730653,38442637,26616850,11825787,13464528,2931570,10532958,8922594,1610364,288016,1354301.0,332821.0,0.0,1244448.0,65.0,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3162,5.07
2013-10-07,2281539710,2267636377,42797733,42511148,29976033,12535115,28894400,6620676,22273724,7474553,14799171,286585,4952671.0,181400.0,0.0,1486605.0,65.0,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,1.3162,5.07
2013-10-08,2313490526,2281539710,109806912,109484867,70814343,38670524,77856096,7122908,70733188,11651151,59082037,322045,3069548.0,2345844.0,0.0,1707516.0,66.0,3.052,4.393,4.78,5.178,4.6685,4.22,4.27,4.4,1.4756,5.006
2013-10-09,2351913449,2313490526,72422299,72136946,38830790,33306156,33999376,8883001,25116375,10678490,14437885,285353,6629023.0,682519.0,0.0,1571459.0,67.0,3.232,4.502,4.816,5.213,4.6682,4.22,4.27,4.4,1.2935,4.992
2013-10-10,2371763531,2351913449,72094613,71796476,36544934,35251542,52244531,7061370,45183161,11880117,33303044,298137,3916813.0,1663448.0,0.0,1481109.0,68.0,3.328,4.48,4.939,5.1,4.6681,4.22,4.27,4.4,1.3088,4.987
2013-10-11,2426771815,2371763531,82674757,82372594,43296363,39076231,27666473,3564500,24101973,12783375,11318598,302163,1178582.0,743552.0,0.0,1642366.0,69.0,3.1,4.26,4.847,5.0,4.6679,4.22,4.27,4.4,1.3122,4.985
2013-10-12,2477349968,2426771815,81901136,81593823,42609762,38984061,31322983,6943327,24379656,6524375,17855281,307313,5026766.0,434681.0,0.0,1481880.0,70.0,3.027,4.246,4.798,4.805,4.6673,4.22,4.27,4.4,1.3082,4.98
2013-10-13,2516649474,2477349968,71149981,70845311,32822745,38022566,31850475,4273577,27576898,10611383,16965515,304670,1846435.0,221320.0,0.0,2205822.0,70.0,3.027,4.246,4.798,4.805,4.6673,4.22,4.27,4.4,1.3082,4.98
2013-10-14,2606312149,2516649474,130315300,130020702,75489865,54530837,40652625,7783174,32869451,14896890,17972561,294598,1246108.0,2678841.0,0.0,3858225.0,71.0,3.113,3.855,4.65,4.85,4.6661,4.22,4.27,4.4,1.2777,4.96
2013-10-15,2656917255,2606312149,85704304,85388933,41656981,43731952,35099198,7010950,28088248,10639886,17448362,315371,2290112.0,821219.0,0.0,3899619.0,72.0,3.117,3.845,3.883,4.713,4.6655,4.22,4.27,4.4,1.3456,4.888999999999999
2013-10-16,2706603364,2656917255,100948091,100610077,49684423,50925654,51261982,8108405,43153577,8534326,34619251,338014,5552783.0,251813.0,0.0,2303809.0,73.0,3.055,3.314,3.357,4.857,4.6654,4.22,4.27,4.4,1.3130000000000002,4.899
2013-10-17,2770531817,2706603364,87203217,86867001,35808629,51058372,23274764,5594997,17679767,4512267,13167500,336216,1834809.0,600722.0,0.0,3159466.0,74.0,3.038,3.35,3.391,4.73,4.6681,4.22,4.27,4.4,1.2908,4.888999999999999
2013-10-18,2852744912,2770531817,98151450,97805294,49716816,48088478,15938355,4197983,11740372,9265936,2474436,346156,961210.0,473625.0,0.0,2763148.0,75.0,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,1.2917,4.878
2013-10-19,2879208658,2852744912,53148443,52794624,17807708,34986916,26684697,7939723,18744974,7947251,10797723,353819,5353874.0,1441492.0,0.0,1144357.0,75.0,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,1.2917,4.878
